"명칭","좌표주소","위도","경도","상세주소","상세내용"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로70라길 17-4","37.4679799","126.90504899999996","독산로70라길 17-4","관리번호: T110"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로86길 7","37.4726302","126.90378510000005","독산로86길 7","관리번호: T111"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 남부순환로126가길 19","37.47933039999999","126.90710060000003","남부순환로126가길 19","관리번호: T112"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로56길 22","37.4525343","126.90293129999998","시흥대로56길 22","관리번호: T113"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로54길 6","37.4517265","126.9032618","시흥대로54길 6","관리번호: T114"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 탑골로 60","37.4521744","126.91567750000001","탑골로60","관리번호: T115"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 금하로29길 30","37.4512434","126.91300219999994","금하로29길 30","관리번호: T116"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로12길 28","37.4389068","126.90505689999997","시흥대로12길 28","관리번호: T117"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로36길 40","37.4438489","126.90581780000002","시흥대로36길 40","관리번호: T118"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로38길 81","37.4625002","126.90500229999998","독산로38길 81","관리번호: T119"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로50마길 14-6","37.4606444","126.91128470000001","독산로50마길 14-6","관리번호: T120"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로10길 32","37.4500322","126.90761169999996","독산로10길 32","관리번호: T121"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 탑골로5가길 5","37.4531922","126.91181430000006","탑골로5가길 5","관리번호: T122"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로41길 89","37.4571362","126.90149640000004","독산로41길 89","관리번호: T123"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로61길 5","37.4540023","126.90022999999996","시흥대로61길 5 길목호프","관리번호: T124"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 은행나무로10길 12-1","37.4503591","126.90631970000004","은행나무로10길 12-1","관리번호: T129"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로50길","37.4620301","126.90929949999997","독산로50길 163-10 명성빌라 앞","관리번호: T130"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로6길 35-25","37.4372283","126.90459320000002","시흥대로6길 35-25","관리번호: T131"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 탑골로4길 67","37.4505249","126.91502200000002","탑골로4길 67 탑골식당 앞","관리번호: T132"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 시흥대로48길 13","37.4511413","126.90350769999998","시흥대로48길 13","관리번호: T133"
"쓰레기무단투기 CCTV","대한민국 서울특별시 금천구 독산로73길 10-34","37.4685742","126.90161280000006","독산로73길 10-34","관리번호: T134"
